geo,indicator,date,month,value,unit,sub_indicator_short
FR,UN_Tourism_inbound_accommodation_12_2025,2018,,38096.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
FR,UN_Tourism_inbound_accommodation_12_2025,2019,,37376.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
FR,UN_Tourism_inbound_accommodation_12_2025,2020,,11856.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
FR,UN_Tourism_inbound_accommodation_12_2025,2021,,15454.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
FR,UN_Tourism_inbound_accommodation_12_2025,2022,,32886.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
FR,UN_Tourism_inbound_accommodation_12_2025,2023,,37427.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
FR,UN_Tourism_inbound_accommodation_12_2025,2024,,37845.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
IT,UN_Tourism_inbound_accommodation_12_2025,2016,,43405.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
IT,UN_Tourism_inbound_accommodation_12_2025,2017,,45365.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
IT,UN_Tourism_inbound_accommodation_12_2025,2018,,46825.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
IT,UN_Tourism_inbound_accommodation_12_2025,2019,,47377.0,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
IT,UN_Tourism_inbound_accommodation_12_2025,2020,,14387.445,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
IT,UN_Tourism_inbound_accommodation_12_2025,2021,,22915.817,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
IT,UN_Tourism_inbound_accommodation_12_2025,2022,,49193.898,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
IT,UN_Tourism_inbound_accommodation_12_2025,2023,,61506.242,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
IT,UN_Tourism_inbound_accommodation_12_2025,2024,,67311.566,thousand_overnights,"inbound - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - guests"
