geo,indicator,date,month,value,unit,sub_indicator_short
DE,population_by_age_group,2016,,5.8,%,Proportion of population aged 80 years and more
DE,population_by_age_group,2017,,6.0,%,Proportion of population aged 80 years and more
DE,population_by_age_group,2018,,6.2,%,Proportion of population aged 80 years and more
DE,population_by_age_group,2019,,6.5,%,Proportion of population aged 80 years and more
DE,population_by_age_group,2020,,6.8,%,Proportion of population aged 80 years and more
DE,population_by_age_group,2021,,7.1,%,Proportion of population aged 80 years and more
DE,population_by_age_group,2022,,7.3,%,Proportion of population aged 80 years and more
DE,population_by_age_group,2023,,7.2,%,Proportion of population aged 80 years and more
DE,population_by_age_group,2024,,7.2,%,Proportion of population aged 80 years and more
DE,population_by_age_group,2025,,7.2,%,Proportion of population aged 80 years and more
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2016,,78006.0,people,Net migration plus statistical adjustment
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2017,,178449.0,people,Net migration plus statistical adjustment
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2018,,328207.0,people,Net migration plus statistical adjustment
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2019,,456454.0,people,Net migration plus statistical adjustment
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2020,,234560.0,people,Net migration plus statistical adjustment
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2021,,198371.0,people,Net migration plus statistical adjustment
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2022,,731768.0,people,Net migration plus statistical adjustment
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2023,,647924.0,people,Net migration plus statistical adjustment
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2024,,576700.0,people,Net migration plus statistical adjustment
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2016,,503.0,people,Natural change of population
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2017,,-30772.0,people,Natural change of population
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2018,,-54326.0,people,Natural change of population
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2019,,-57355.0,people,Natural change of population
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2020,,-151812.0,people,Natural change of population
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2021,,-112326.0,people,Natural change of population
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2022,,-133250.0,people,Natural change of population
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2023,,-113590.0,people,Natural change of population
ES,population_change_demographic_balance_and_crude_rates_at_national_level,2024,,-118411.0,people,Natural change of population
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2016,,-18895.0,people,Net migration plus statistical adjustment
FR,population_change_demographic_balance_and_crude_rates_at_national_level,2017,,52773.0,people,Net migration plus statistical adjustment
